Text,Emotion,Temiz_Text
İnsanların birbirlerini aldatması ve kusmuk görmek.,Disgust,insan birbiri aldatmak kusmuk görmek
Restoranın servisi iyiydi ancak menü çok sınırlıydı.,Neutral,restoran servis iyi menü çok sınır
Okul yemeklerinden saç çıkınca tiksinirim.,Disgust,okul yemek saç çıkmak tiksinmek
Ucuz diye gittiğim yerin pahalı olması.,Surprise,ucuz gitmek yer pahalı olmak
Düşük not almak.,Sadness,düşük not almak
Trafik sıkışıkken gereksiz çalan kornalar beni sinirlendiriyor.,Anger,trafik sıkışık gerek çalmak korna sinir
sınav sonuçlarının açıklandığı zaman korkuyorum.,Fear,sınav sonuç açıklamak zaman korkmak
Yetkisiz kişilerin sağa sola emirler vermesine öfkelenirim.,Anger,yetki kişi sağ sol emir vermek öfkelenmek
Küçük kardeşimle kavga ettiğimde annem bana bağırdı ve çok öfkelendim.,Anger,küçük kardeş kavga ettiğimde anne bağırmak çok öfke
Beklemediğim olaylar karşısında.,Surprise,beklemek olay karşı
Oyunda 1-5 geride iken kazanmama şaşırdım.,Surprise,oyun geri iken kazanmak şaşırmak
Sınavlardan tiksiniyorum.,Disgust,sınav tiksinmek
Sevdiklerim ile olduğum her an.,Happy,sevmek olduğum an
Beykoz Met ve Billur Müzesinin bulunduğu geniş koruluk alanı yaklaşık 360 dönümdür.,Neutral,beykoz met billur müze bulunmak geniş koru alan yaklaşık dönü
Siyasi platformlar parti politikasını anlaşılır bir şekilde iletebilir.,Neutral,siyasî platform parti politika anlaşmak şekil iletmek
İşlerimin istediğim gibi gitmemesinden korkarım.,Fear,iş istemek gitmek korkmak
Groundhog Day eğlenceli konusuyla öne çıkan bir film. Ancak bazıları için tekrarlayan konsept sıkıcı olabilir.,Neutral,groundhog day eğlence konu ön çıkmak film bazı tekrarlamak konsept sıkıcı olabilir
Arkadaşımın yurt dışına taşınacağını öğrendiğimde.,Sadness,arkadaş yurt dış taşınmak öğrenmek
İnsanların değişimine şaşırıyorum.,Surprise,insan değişim şaşırmak
Düşük beklediğim sınavdan yüksek not aldığımda.,Happy,düşük beklemek sınav yüksek not aldığımda
Hamile olduğumu duyduğumda çok şaşırdım,Surprise,hamile olduğumu duymak çok şaşırmak
Arkadaşlarla biz tatildeyken evde kalan kızlar bütün pencereleri açık bıraktığı için evimize kedi girmiş. Tatil bitiminde eve geldik. Kedi evde uzun süre yaşamış ve bu beni tiksindiren bir olaydı.,Disgust,arkadaş tatil ev kalmak kız pencere açık bırakmak ev kedi girmek tatil bitim ev gelmek kedi ev uzun süre yaşamak tiksinmek olaydı
Maganda bakışlarından korkarım.,Fear,maganda bakmak korkmak
Finali geçme barajını birkaç puanla kaçırdığımda.,Sadness,final geçmek baraj birkaç puan kaçırmak
Ürün güzel kalın ve sıcak. Atom numarası 53 Annem için bilişim teknolojisi satın aldım sadece yarasa kolu olduğu ve kolu kısa olduğu için iade ettim.,Neutral,ürün güzel kalın sıcak atom numara anne bilişim teknoloji satmak aldım sadece yarasa kol olduğu kol kısa olduğu iade ettim
eve gidince sevdiğim yemeğin olması,Happy,ev gidince sevmek yemek olmak
Yüksek bir binaya çıktığımda.,Fear,yüksek bina çıkmak
çok sevdiğim bir arkadaşımın bir başkası tarafından üzüldüğüne şahit oldum ve bu beni çok üzüyor.,Sadness,çok sevmek arkadaş başka taraf üzüldüğüne şahit oldum çok üzüyor
Sınavdan düşük not almak.,Sadness,sınav düşük not almak
Çok sevdiğim birisinden beklemediğim bir tepki gördüğümde.,Surprise,çok sevmek biri beklemek tepki görmek
Hissettiklerimin doğru çıkması.,Surprise,hissetmek çıkmak
Maç kaybettiğim an.,Sadness,maç kaybetmek an
"Haksızlık, çaresizlik ve aşağılanmak sinirlendirir.",Anger,hak çare aşağılamak sinir
Birine krem sürülmesinden tiksinirim.,Disgust,biri krem sürmek tiksinmek
çok yakın arkadaşlarımın birden tiksinç insanlara dönüşmesi beni çok üzüyor.,Sadness,çok yakın arkadaş birden tiksinç insan dönüşmek çok üzüyor
Annemin bir tatil olayından dolayı uzun bir süre evde olmayacağını öğrendiğim zaman.,Sadness,anne tatil olay uzun süre ev olmak öğrenmek zaman
Rampanın duvarlarında Troyanın farklı katmanları; mezar taşları büyük boy heykeller sahne canlandırmaları ve büyük boy fotoğraflarla anlatılmaktadır.,Neutral,rampa duvar troyanın fark katman mezar taş büyük boy heykel sahne can büyük boy fotoğraf anlamak
Öykü'nün kül kedisi misali tam 12'de eve dönmesine.,Surprise,öykü nü kül kedi misal tam ev dönmek
İnsan gibi davranmayan insanlar.,Anger,insan davranmak insan
Ben insanlara yardımcı olmak için doktor olmak istiyorum. Parası için Doktor olmak isteyenlere kızıyorum.,Anger,insan yardımcı olmak doktor olmak istemek para doktor olmak istemek kızmak
bir evin korkuluğu bile olsa zemin katta oturmak.. zira bütün oda kapılarını kapatıp koridor da oturmuşluğum var.,Fear,ev korku bile olsa zemin kat oturmak oda kapı kapamak koridor oturmak var
eski arkadaşlarla karşılaştığımda,Happy,eski arkadaş karşılaşmak
Kolum kırıldığı zaman korkmuştum.,Fear,kol kırmak zaman korkmak
Yolda yürürken birisi önümü keserse çok korkarım.,Fear,yol yürümek ön kesmek çok korkmak
Her hangi bir konuda başarılı ve en iyi olduğum zaman.,Happy,konu başarı iyi olduğum zaman
"Beni mutlu eden üç şey.Sevgi,aşk,hayat",Happy,mutlu eden üç şey sevgi aşk hayat
"""güzel sadece zevkime uymadı""",Neutral,güzel sadece zevk uymak
küçükken resimlerdeki insanların beni izlediklerini sanıp korkardım.,Fear,küçük resim insan izlemek sanmak korkmak
Özel eşyalarımın karıştırılması.,Anger,özel eşya karışmak
Resim güzel ama bazı kısımları son dakikada bitirmek biraz fazla oldu.,Neutral,resim güzel bazı kısım son dakika bitirmek oldu
komşumuza hırsız girdi ve ilk defa yalnız kaldığımda korktum,Fear,komşu hırsız girmek ilk defa kalmak korkmak
Oda arkadaşımın kokusundan tiksiniyorum.,Disgust,oda arkadaş koku tiksinmek
Sistem hakkında pek fazla şey anlatmayan bir film tekniği seçilmiş.,Neutral,sistem hak şey anlamak film teknik seçmek
Kolay sınav sorusu gördüğümde.,Happy,kolay sınav soru görmek
Dizi ya da film izlerken.,Happy,dizi film izlemek
Bazı insanların şımarık davranması.,Anger,bazı insan şımarık davranmak
arkadaşımın gerçek yüzünü gördüğümde içim acıdı.,Sadness,arkadaş gerçek yüz görmek içim acımak
"""Hiçbir anlamda kusurlu bir film değil ancak bilgi teknolojisi bilgi teknolojisinin iddia edildiği kadar iyi değil.""",Neutral,anlam kusur film değil bilgi teknoloji bilgi teknoloji iddia edildiği iyi değil
Yüzdüğüm zamanlar.,Happy,yüzmek zaman
Köpekler ve korku filmleri.,Fear,köpek korku film
Fizik öğretmeninin beni sözlüye kaldırması.,Fear,fizik öğretmen sözlü kaldırmak
"Eski Şark Eserleri Müzesi olarak kullanılan bina, Osman Hamdi Bey tarafından 1883 yılında Güzel Sanatlar Akademisi olarak inşa edilmiştir.",Neutral,eski şark eser müze olarak kullanmak bina osman hamdi bey tarafından yıl güzel sanat akademi olarak inşa edilmiştir
Alışverişte alamadığım bir şeyi birisi bana alınca havalara uçarım,Happy,alışveriş alamadığım şey alınca hava uçarım
Babam ve teyzemin +18 içerikli mesajları.,Anger,baba teyze içerik mesaj
Mükemmel olmayan sadece ortalama bir sinema filmi gösterisi.,Neutral,mükemmel olmak sadece ortalama sinema film gösteri
Düşük beklediğim sınavdan yüksek not aldığım zaman.,Happy,düşük beklemek sınav yüksek not aldığım zaman
birilerinin benden gizli bir şeyler çevirip ve ben sorunca geçiştirmelerinden nefret ediyorum ve çok sinirleniyorum.,Anger,biri gizli şey çevirmek sormak geçiştirmek nefret ediyorum çok sinir
Değer verdiğim kişilerin bana değer vermemesi.,Sadness,değer vermek kişi değer vermek
Böceklerden korkarım.,Fear,böcekler korkmak
idare eder çok da bayılmadımdikiş hataları var.Oversize olması iyi.,Neutral,idare eder çok bayılmadımdikiş hata var oversize olmak iyi
yaz tatilinde akümüz bittiğinde yolda kalmıştık ve ödüm patlamıştı,Fear,yaz tatil akü bitmek yol kalmak öd patlamak
Yılan belgesellerini izlerken korktum.,Fear,yılan belgesel izlemek korkmak
Sınavda düşük not aldığıma.,Sadness,sınav düşük not aldığıma
"""PCye girmek zor ama fena değil""",Neutral,pcye girmek zor fena değil
Ailemle bir konu hakkında tartışırken araya başkalarının girmesi.,Anger,aile konu hak tartışmak ara başka girmek
Bir konuda yanlış bir karar verip sonrasında pişman olduğum zaman üzülürüm.,Sadness,konu yanlış karar vermek sonra pişman olduğum zaman üzülürüm
Erkek arkadaşımdan ayrıldığım zaman.,Sadness,erkek arkadaş ayrıldığım zaman
Savaşta ölen insanları gördüğümde.,Sadness,savaş ölen insan görmek
Birisi kustuğunda tiksinirim.,Disgust,kusmak tiksinmek
Önümde yürüyen kadına araba çarpması.,Fear,ön yürümek kadın araba çarpmak
deprem olunca korkarsın.,Fear,deprem olunca korkmak
Türkan Şoray ve Cihan Ünal'ın başrollerinde oynadığı ''Seni Seviyorum'' yarın 14.30'da 360 ekranlarında! #TürkSineması https://t.co/u5L4GMdrav,Neutral,türkan şoray cihan ünal ın başrol oynamak sevmek yarın ekran türksineması
İnsanların farklı fikirlere karşı bu kadar ön yargılı olabilmelerine şaşırıyorum.,Surprise,insan fark fikir ön yargı olabilmelerine şaşırmak
herkesle laubali olan ve patavatsız insanların bulunduğu ortamlardan tiksinirim.,Disgust,herkes laubalî olan patavatsız insan bulunmak ortam tiksinmek
eşyalarımın izinsiz kullanılması,Anger,eşya izin kullanmak
Kalabalık bir ortamda insanların bana çarpması.,Anger,kalabalık ortam insan çarpmak
sınav sonuçları açıklandığında şaşırırım,Surprise,sınav sonuç açıklamak şaşırmak
Arkadaşımı bir anda önümde görünce şaşkına döndüm.,Surprise,arkadaş an ön görmek şaşkın dönmek
ablamların benden habersiz aydın ziyaretlerine hayret ediyorum.,Surprise,ablamlar haber aydın ziyaret hayret ediyorum
balıkesirspor küme düşünce çok üzüldüm,Sadness,balıkesirspor küme düşünce çok üzüldüm
Eşimin ben söylemeden hediye almasına şaşırırdım!,Surprise,eş söylemek hediye almak şaşırmak
Yaz tatilinin uzaması.,Happy,yaz tatil uzamak
Sağa sola yapıştırılmış sakız görünce.,Disgust,sağmak sol yapışmak sakız görmek
Arkadaşlarımla gezdiğim zamanlar.,Happy,arkadaş gezmek zaman
Masama konan çorbanın içindeki sineği görünce içim kalktı.,Disgust,masa konmak çorba iç sinek görmek içim kalkmak
Beni uyandırdıklarında çok sinirlenir ve öfke topuna dönerim.,Anger,uyanmak çok sinir öfke top dönmek
Teröristler.,Anger,terörist
resimlerim beğenildiğinde mutlu olurum,Happy,resim beğenmek mutlu olurum
Benim gibiler korkmaz.,Fear,ben gibi korkmak
gece evde yalnızken elektrikler kesildiğinde karanlıktan çok korktum. Hayatımın sonuna kadar böyle hisler içinde olmaktan korkuyorum.,Fear,gece ev yalnız elektrik kesmek karanlık çok korkmak hayat son böyle his iç olmak korkmak
Düşük beklediğim sınavdan yüksek not aldığım zaman.,Happy,düşük beklemek sınav yüksek not aldığım zaman
fenerbahçe maç kaybettiğinde her zaman çok üzülürüm.,Sadness,fenerbahçe maç kaybetmek zaman çok üzülürüm
Harçlığım azaldığı zaman üzülürüm.,Sadness,harçlık azalmak zaman üzülürüm
Hediye aldığımda.,Happy,hediye aldığımda
"Hayatta en güvendiğim insana karşı duyduğum bu kırgınlık, adeta bütün insanlara dağılmıştı. Çünkü o, benim için bütün insanlığın timsaliydi. 🖋 Sabahattin Ali, Kürk Mantolu Madonna",Neutral,hayat güvenmek insan duymak kırgın adeta insan dağılmak ben insan timsal sabahattin ali kürk manto madonna
Asansörde kalıp ışıklar da sönünce korktum.,Fear,asansör kalıp ışık sönmek korkmak
Çorba sert değildi ama kelle paçanın tadını da arttırmadı et suyu gibiydi. Patlıcan kebabı aşırı yağlıydı ama lezzet açısından güzel bence bilişim teknolojisini göz önünde bulundurun.,Neutral,çorba sert değil kelle paça tadını artmak et su gibi patlıcan kebap aşırı yağ lezzet açı güzel ben bilmek teknoloji göz ön bulunmak
Yardıma muhtaç insanları görüp elimden bir şey gelmemesi.,Sadness,yardım muhtaç insan görmek el şey gelmek
Ani bir durum karşısında korkarım.,Fear,ani durum karşı korkmak
Tükürük.,Disgust,tükürük
"""Bilgi teknolojisi bizim eğilimlerimize pek uymuyordu ama bilgi teknolojisi birine bir biçime bağlıdır. Satıcıya doğal bağışı için teşekkür ediyorum.""",Neutral,bilgi teknoloji biz eğilim uymak bilgi teknoloji biri biçim bağ satıcı doğal bağış teşekkür ediyorum
çöp konteynerini açtığımda o kokunun yüzüme vurması,Disgust,çöp konteyner açtığımda koku yüz vurmak
Hırsızlık konusunda çok öfkeleniyorum.,Anger,hırsız konu çok öfke
Bencil insanların davranışlarına öfkelenirim.,Anger,bencil insan davranmak öfkelenmek
Beşiktaş şampiyon olsaydı çok mutlu olurdum.,Happy,beşiktaş şampiyon olsaydı çok mutlu olurdum
Geçen doğum günümde sürpriz yapıp yanıma gelen kardeşime çok şaşırdım.,Surprise,geçen doğum gün sürpriz yapmak yan gelmek kardeş çok şaşırmak
RT @avhamzadag: İçişleri Bakanımız Sn. Süleyman Soylu ile birlikte Foça Jandarma Uzman Erbaş Komando Temel Kursu Mezuniyet Töreni'ne katıldık. Mezun olan kardeşlerimizi tebrik ediyorum. Rabbim ayağınıza taş değdirmesin 🤲🏻 https://t.co/ErxOiHidr6,Neutral,içişleri bakan sn süleyman soylu birlikte foça jandarma uzman erbaş komando temel kurs mezuniyet tören katılmak mezun olan kardeş tebrik ediyorum rabbim ayak taş değdirmek
Şehirler arası otobüs yolculuğunda yanıma düşecek kişinin kokusu.,Disgust,şehir ara otobüs yolcu yan düşmek kişi koku
yirmi beş mayıs 2015 de fenerbahçe yenilip Galatasaray şampiyon olduğunda çok mutlu oldum. Hala da mutlu bir şekilde yaşıyorum.,Happy,yirmi beş mayıs fenerbahçe yenmek galatasaray şampiyon olduğunda çok mutlu oldum mutlu şekil yaşamak
Okulların açıldığı gün.,Happy,okul açıldığı gün
Kapalı ve karanlık yerlerden.,Fear,kapmak karanlık yer
Keçi oğlak kuzu gibi hayvanları kapsayan bu yetiştiricilik türü ülkemizde hayvancılık faaliyetlerinin en büyük parçasıdır.,Neutral,keçi oğlak kuzu hayvan kapsamak yetişmek tür ülke hayvan faaliyet büyük parça
iddaa dan tek maçtan yatarsam öfkelenirim,Anger,iddaa dan maç yatmak öfke
İzlediğim sinema filminden çok korktum.,Fear,izlemek sinema film çok korkmak
Yakınlarımın gelecek kaygısını taşıması beni korkutur.,Fear,yakın gelecek kaygı taşımak korkutmak
Doğum günümde yeni telefon alınması.,Happy,doğum gün yeni telefon alınması
Hiç beklemediğim birinden hediye alınca şaşırırım.,Surprise,hiç beklemek biri hediye alınca şaşırmak
Atmosferi ve kabusvari rüya sahneleri çok etkiliyeci. Fransızlar Lynchvari bir gerilim denemesinde fena iş çıkarmamışlar. Sonu daha iyi olabilirdi.,Neutral,atmosfer kabusvari rüya sahne çok etkiliyeci fransızlar lynchvari gerilim deneme fena iş çıkarmak son iyi olabilirdi
Lisede İngilizce sınavından 100 alınca çok şaşırmıştım.,Surprise,lise ingilizce sınav alınca çok şaşırmak
Hediye aldığım zaman.,Happy,hediye aldığım zaman
Doğum günümün unutulmaması.,Happy,doğum gün unutmak
kardeşim ben televizyon izlerken televizyonu kapatması beni delirtir.,Anger,kardeş televizyon izlemek televizyon kapamak delirmek
"""Kuran-ı Kerim ilgi çekici bir konuya sahip ancak okunuşu bazen sıkıcı olabiliyor.""",Neutral,kuran kerim ilgi çekici konu sahip okumak sıkıcı olabiliyor
Türk olarak dünyaya geldiğin için ve Türkiye'de olduğum için çok huzurluyum.,Happy,türk olarak dünya gelmek türkiye olduğum çok huzur
İndirimdeyken aldım. Beklediğim kadar yoğun bir kokusu yoktu.,Neutral,indirim aldım beklemek yoğun koku yok
Burnunu karıştıran birisini gördüğümde.,Disgust,burun karışmak biri görmek
Annemin sürekli  beni dinlemeden kızması kafamın tasını attırıyor.,Anger,anne sürekli dinlemek kızmak kafa tas attırıyor
Düşük beklediğim sınavdan yüksek not almak.,Happy,düşük beklemek sınav yüksek not almak
bir keresinde param olduğu halde kardeşime para verememiştim. Hala daha anlatırken bile çok üzülüyorum.,Sadness,kere para olduğu hal kardeş para vermek anlamak bile çok üzülüyorum
"2020 yılında Vakıflar Genel Müdürlüğü tarafından yeniden restore edilen Galata Kulesi, sonradan eklenen betonarme unsurlar ve kafeterya kaldırılarak müze işleviyle kapılarını ziyaretçilere yeniden açmıştır.",Neutral,yıl vakıf genel müdür taraf yeniden restore edilen galata kule sonradan eklemek betonarme unsur kafeterya kaldırmak müze işlev kapı ziyaret yeniden açmak
Düşük not aldığımda.,Sadness,düşük not aldığımda
Aşk elması yaprak madenci güvesi (Tuta absoluta) lepidoptera takımının gelechiidae familyasından bir zararlı böcektir.,Neutral,aşk elma yaprak maden güve tutmak absoluta lepidoptera takım gelechiidae familya zarar böcek
Okulların kapanacağından dolayı mutluyum.,Happy,okul kapamak mutlu
Okula ilk geldiğimde şaşırdım.,Surprise,okul ilk gelmek şaşırmak
Düşük not beklediğim sınavdan yüksek not aldığımda.,Happy,düşük not beklemek sınav yüksek not aldığımda
Annemin sürekli uyarıları beni huzursuz eder,Anger,anne sürekli uyarı huzur eder
Sınavdan zayıf not aldığım zaman şaşırdım.,Surprise,sınav zayıf not aldığım zaman şaşırmak
yazdığım yazılar yanlış olunca çok öfkelenirim.,Anger,yazmak yazı yanlış olunca çok öfke
Hat Sanatı ve Yazı Takımları Hokka makta kalemtıraş makas gibi yazı takımları ile hat sanatına dair çeşitli eserleri içermektedir.,Neutral,hat sanat yazı takım hokka makta kalemtıraş makas yazı takım hat sanat dair çeşit eser içermek
Bu anketten tiksindim.,Disgust,anket tiksinmek
Portakal ağacını ilk gördüğümde.,Surprise,portakal ağaç ilk görmek
Yaz tatilinde genellikle sabah yarım saat bilgisayar veya telefon oynardım. Telefon birdenbire kapandı ve açılmadı. Çıldırdım hatta çok üzüldüm. Çünkü baktım ki ona çok bağlanmışım. Ama 1-2 saat sonra alıştım. Hiç de zor değilmiş dedim.,Sadness,yaz tatil genellikle sabah yarım saat bilgisayar telefon oynamak telefon birdenbire kapamak açılmadı çıldırmak çok üzüldüm bakmak çok bağlamak saat sonra alışmak hiç zor değil dedim
moda ama ortalama kalitede,Neutral,moda ortalama kalite
Sevdiğim insanlarla vakit geçirdiğimde.,Happy,sevmek insan vakit geçirmek
Eski sevgilimin benden ayrılır ayrılmaz yeni birisini bulduğunu öğrendiğimde.,Anger,eski sevgilimin ayrılır ayrılmaz yeni biri bulmak öğrenmek
Evde tek başıma kaldığım zamanlar.,Fear,ev baş kalmak zaman
Siyasi partiler genellikle belirli bir ideolojiyi benimserler.,Neutral,siyasî parti genellikle belirli ideoloji benimsemek
"Personelin genel yaklaşımı tavır ve hareketleri güzel ve iyi niyetli, personel tarafında sıkıntı yok. Ama otel bazı bölümleri ilgisiz bırakılmış.",Neutral,personel genel yaklaşım tavır hareket güzel iyi niyet personel taraf sıkıntı yok otel bazı bölüm ilgi bırakmak
Sınav haftası.,Fear,sınav hafta
Yerlere çöp atılması.,Anger,yer çöp atılması
Doğum günümde hediye aldığımda.,Happy,doğum gün hediye aldığımda
Ürün sağlam bir şekilde elime ulaştı sadece kargolama çok geç oldu ama bilgi teknolojisi koku duyusunu yönetebilir,Neutral,ürün sağlam şekil el ulaşmak sadece kargolama çok geç oldu bilgi teknoloji koku duyu yönetmek
Sınav zamanı geldiğinde.,Fear,sınav zaman gelmek
Haksızlık yapılan durum karşısında öfkelenirim.,Anger,hak yapmak durum karşı öfke
"Okula ilk geldiğimde en yakın arkadaşımın beni ""Tao"" denen bir ünlüye benzetmesi ve  ünlünün erkek çıkması.",Surprise,okul ilk gelmek yakın arkadaş tao denemek ün benzemek ün erkek çıkmak
Sinemanın başarısı oyunculuklardan geliyor sadece hikaye biraz daha derin olabilirdi.,Neutral,sinema başarı oyun gelmek sadece hikâye derin olabilirdi
"Perge Antik Kenti'nden çıkarılan heykellerin sergilendiği Antalya Müzesi, Alt Paleolitik Çağ'dan Roma Dönemi'ne kadar olan dönemi kapsıyor.",Neutral,perge antik kent nden çıkarmak heykel sergilemek antalya müze alt paleolitik çağ dan roma dönem olan dönem kapsamak
Bir kişinin garip halleri.,Surprise,kişi garip hal
Artık insanların şehit ve ölüm haberlerine tepkisiz davranmasına şaşırıyorum.,Surprise,insan şehit ölüm haber tepki davranmak şaşırmak
kardeşim doğduğu gün havalara uçtum,Happy,kardeş doğmak gün hava uçtum
Rüyalar beni çok korkutuyor.,Fear,rüya çok korkutmak
İzmir Atatürk Lisesini kazandığımda mutlu oldum.,Happy,izmir atatürk lise kazanmak mutlu oldum
Tek başıma kalırken kuş seslerini insan sandığımda çok korkmuştum.,Fear,baş kalmak kuş ses insan sandık çok korkmak
Korku filmi izlediğim zaman.,Fear,korku film izlemek zaman
"RT @SALOMgazetesi: Türk Hava Yolları (THY), normal dönemde en fazla uçuş yaptığı dış hat noktalardan biri olan Tel Aviv´e uçuşunu yeniden başlattı. https://t.co/VZbUqSug4o https://t.co/NTJ1DJTKC4",Neutral,türk hava yol thy normal dönem uçuş yapmak dış hat nokta olan tel aviv uçuşunu yeniden başlamak
Sürpriz tatil planları.,Happy,sürpriz tatil plan
Tanımadığım insanlar bana sen diye hitap ettiğinde çok öfkelenirim.,Anger,tanımak insan hitap ettiğinde çok öfke
Beşiktaş şampiyon olduğu zaman.,Happy,beşiktaş şampiyon olduğu zaman
arkadaşlarımla birlikte istediğim şeyleri yapınca çok mutlu oluyorum.,Happy,arkadaş birlikte istemek şey yapmak çok mutlu oluyorum
Yakınıma zarar gelmesi.,Sadness,yakın zarar gelmek
Sağlık sınavından 100 aldığımda.,Happy,sağlık sınav aldığımda
Sınavların 2 haftaya sıkıştırılması beni öfkelendiriyor.,Anger,sınav hafta sıkışmak öfke
Korku filmi sonrası karanlıkta kalmaktan ve yalnız kalmaktan korkarım.,Fear,korku film sonra karanlık kalmak kalmak korkmak
Köpek aldığımda.,Happy,köpek aldığımda
Kendi evimde  ailemle olduğumda.,Happy,ev aile olduğumda
Beşiktaş maç aldığında mutlu olurum.,Happy,beşiktaş maç aldığında mutlu olurum
Okullar tatil olduğu zaman.,Happy,okul tatil olduğu zaman
Kusmuk.,Disgust,kusmuk
oğlumun iyi bir üniversiteye girmesinden mutlu olacağım.,Happy,oğlumun iyi üniversite girmek mutlu olacağım
Sürpriz yapıldığında.,Surprise,sürpriz yapmak
Sevdiklerimin başına kötü bir şey gelirse üzülürüm.,Sadness,sevmek baş kötü şey gelmek üzülürüm
Basketbolda bölge şampiyonasında 1. olduğumuzda mutlu olmuştum.,Happy,basketbol bölge şampiyona olduğumuzda mutlu olmak
Beğendiğim bir kitabın bitmesi.,Sadness,beğenmek kitap bitmek
"""Film pişmanlık verici değildi ama Jim Carreynin eski sinema şovuna güvenerek filmin ve şakanın orijinal olmadığını tespit ettim.""",Neutral,film pişman vermek değil jim carreynin eski sinema şov güvenmek film şaka orijinal olmak tespit ettim
İnatçı insanlara öfkeleniyorum.,Anger,inatçı insan öfke
Kız arkadaşını döven erkeğe sinirlendim.,Anger,kız arkadaş dövmek erkek sinirlemek
Bu yaz kardeşim ve kuzenimin kavga etmesine.,Sadness,yaz kardeş kuzen kavga etmek
Tatillerde ve uyuduğum zamanlar.,Happy,tatil uyumak zaman
Hocaların öğrenci kayırması.,Anger,hoca öğrenci kayırmak
Kuzenimin ayağı kırıldığı için üzülmüştüm.,Sadness,kuzen ayak kırmak üzülmüştüm
Aksiyon ve performanslar anlatım içeriyor bazılarına klişe gelebilir.,Neutral,aksiyon performans anlatım içermek bazı klişe gelmek
Kumaş çok güzel sadece dikişleri sağlam değil.,Neutral,kumaş çok güzel sadece dikiş sağlam değil
Emin olduğum bir şeyin olmaması.,Surprise,emin olduğum şey olmak
Hedeflediğim bir amaca ulaştığım zaman.,Happy,hedeflemek amaç ulaşmak zaman
Bugün kasırların yer aldığı vadinin ilk bölümü Sultan III. Ahmed (1703-1730) döneminde tersane eminlerinden Hacı Hüseyin Ağa’ya ait bağ iken devlet hazinesine katılarak padişaha ait bir hasbahçeye dönüştürülmüştür.,Neutral,bugün kasır yer aldığı vadi ilk bölüm sultan ııı ahmed dönem tersane emin hacı hüseyin ağa ait bağ iken devlet hazine katılmak padişah ait hasbahçeye dönüşmek
Yüksek not aldığım zaman.,Happy,yüksek not aldığım zaman
Samimi olmadığım bir kişiye selam vermedim diye beni annesine anlatmasına şaşırdım.,Surprise,samimi olmak kişi selam vermek anne anlamak şaşırmak
"Beykoz Cam ve Billur Müzesi'nin geniş koruluğu içindeki arazi, yaklaşık 360 dönümlük bir alana sahiptir.",Neutral,beykoz cam billur müze nin geniş koru iç arazi yaklaşık dönüm alan sahip
